filename	acq_time	operator	randstr
func/sub-001_ses-02_task-HalfFovNoTask_run-002_bold.nii.gz	1862-11-09T18:28:51	NIMH	D71<W_tX
func/sub-001_ses-02_task-HalfFovNoTask_run-003_bold.nii.gz	1862-11-09T18:33:58	NIMH	YXrmIbK(
func/sub-001_ses-02_task-HalfFovNoTask_run-004_bold.nii.gz	1862-11-09T18:39:53	NIMH	)+^XMdYI
func/sub-001_ses-02_task-HalfFovNoTask_run-005_bold.nii.gz	1862-11-09T18:48:51	NIMH	y\I5,v*r
func/sub-001_ses-02_task-HalfFovNoTask_run-006_bold.nii.gz	1862-11-09T18:56:58	NIMH	|qS)HMZv
func/sub-001_ses-02_task-HalfFovNoTask_run-007_bold.nii.gz	1862-11-09T19:00:33	NIMH	D0&i\RUw
func/sub-001_ses-02_task-HalfFovNoTask_run-008_bold.nii.gz	1862-11-09T19:08:31	NIMH	?{!'qh=5
func/sub-001_ses-02_task-HalfFovNoTask_run-009_bold.nii.gz	1862-11-09T19:16:58	NIMH	]Z:[vx\/
func/sub-001_ses-02_task-HalfFovNoTask_run-012_bold.nii.gz	1862-11-09T19:35:38	NIMH	A\%]vGEQ
func/sub-001_ses-02_task-HalfFovNoTask_run-013_bold.nii.gz	1862-11-09T19:45:13	NIMH	+9.B`PFs
anat/sub-001_ses-02_acq-MPRAGE_run-001_T1w.nii.gz	1862-11-09T19:53:58	NIMH	RBw(FhaH
anat/sub-001_ses-02_run-001_PD.nii.gz	1862-11-09T19:58:28	NIMH	o~`ZqlI2
