filename	acq_time	operator	randstr
func/sub-003_ses-08_task-FullFovAttentionTask_run-003_bold.nii.gz	1863-02-06T16:28:01	NIMH	-=5P%!(b
func/sub-003_ses-08_task-FullFovAttentionTask_run-004_bold.nii.gz	1863-02-06T16:33:57	NIMH	5iX.?\-T
func/sub-003_ses-08_task-FullFovAttentionTask_run-005_bold.nii.gz	1863-02-06T16:39:25	NIMH	naNR'%P*
func/sub-003_ses-08_task-FullFovAttentionTask_run-006_bold.nii.gz	1863-02-06T16:49:41	NIMH	30%7e!=$
func/sub-003_ses-08_task-FullFovAttentionTask_run-007_bold.nii.gz	1863-02-06T16:56:37	NIMH	Q]P2{4<u
func/sub-003_ses-08_task-FullFovAttentionTask_run-008_bold.nii.gz	1863-02-06T17:00:05	NIMH	sjIGZ@1a
func/sub-003_ses-08_task-FullFovAttentionTask_run-009_bold.nii.gz	1863-02-06T17:09:41	NIMH	-1m:z3'q
func/sub-003_ses-08_task-FullFovAttentionTask_run-010_bold.nii.gz	1863-02-06T17:18:57	NIMH	%k0<G`*F
func/sub-003_ses-08_task-FullFovAttentionTask_run-011_bold.nii.gz	1863-02-06T17:22:45	NIMH	Pb5zi)+G
func/sub-003_ses-08_task-FullFovAttentionTask_run-012_bold.nii.gz	1863-02-06T17:29:41	NIMH	iYKdUN}E
func/sub-003_ses-08_task-FullFovAttentionTask_run-013_bold.nii.gz	1863-02-06T17:37:17	NIMH	"Cz2UR""mL"
anat/sub-003_ses-08_acq-MPRAGE_run-001_T1w.nii.gz	1863-02-06T17:49:11	NIMH	9`1zB<RT
anat/sub-003_ses-08_run-001_PD.nii.gz	1863-02-06T17:53:21	NIMH	Xki}utWD
