filename	acq_time	operator	randstr
func/sub-001_ses-03_task-HalfFovNoTask_run-003_bold.nii.gz	1862-11-10T17:33:20	NIMH	4k.RaeoK
func/sub-001_ses-03_task-HalfFovNoTask_run-004_bold.nii.gz	1862-11-10T17:38:48	NIMH	fSmutHPW
func/sub-001_ses-03_task-HalfFovNoTask_run-005_bold.nii.gz	1862-11-10T17:44:03	NIMH	5gTHM01>
func/sub-001_ses-03_task-HalfFovNoTask_run-006_bold.nii.gz	1862-11-10T17:53:20	NIMH	KTaUg,Wh
func/sub-001_ses-03_task-HalfFovNoTask_run-007_bold.nii.gz	1862-11-10T18:01:08	NIMH	l)a-8WO?
func/sub-001_ses-03_task-HalfFovNoTask_run-008_bold.nii.gz	1862-11-10T18:04:23	NIMH	n={|m%bV
func/sub-001_ses-03_task-HalfFovNoTask_run-009_bold.nii.gz	1862-11-10T18:13:00	NIMH	wb?YLj#2
func/sub-001_ses-03_task-HalfFovNoTask_run-010_bold.nii.gz	1862-11-10T18:21:08	NIMH	"Hie@P`\"""
func/sub-001_ses-03_task-HalfFovNoTask_run-011_bold.nii.gz	1862-11-10T18:25:03	NIMH	:cpjC1JW
func/sub-001_ses-03_task-HalfFovNoTask_run-012_bold.nii.gz	1862-11-10T18:30:40	NIMH	^UXi}j7C
func/sub-001_ses-03_task-HalfFovNoTask_run-013_bold.nii.gz	1862-11-10T18:38:28	NIMH	=CX/G5?B
func/sub-001_ses-03_task-HalfFovNoTask_run-015_bold.nii.gz	1862-11-10T18:49:20	NIMH	~DLW]#'_
anat/sub-001_ses-03_acq-MPRAGE_run-001_T1w.nii.gz	1862-11-10T18:57:32	NIMH	Om\q,j!6
anat/sub-001_ses-03_run-001_PD.nii.gz	1862-11-10T19:01:41	NIMH	J0gY|6+&
