filename	acq_time	operator	randstr
func/sub-001_ses-12_task-HalfFovNoTask_run-002_bold.nii.gz	1863-03-27T16:25:43	NIMH	IZ9HByVt
func/sub-001_ses-12_task-HalfFovNoTask_run-003_bold.nii.gz	1863-03-27T16:33:51	NIMH	f|}Zg>Vl
func/sub-001_ses-12_task-HalfFovNoTask_run-004_bold.nii.gz	1863-03-27T16:38:56	NIMH	F^>|Y/cC
func/sub-001_ses-12_task-HalfFovNoTask_run-005_bold.nii.gz	1863-03-27T16:47:43	NIMH	nKP$C-}f
func/sub-001_ses-12_task-HalfFovNoTask_run-006_bold.nii.gz	1863-03-27T16:56:31	NIMH	RF8vuJm`
func/sub-001_ses-12_task-HalfFovNoTask_run-007_bold.nii.gz	1863-03-27T16:59:36	NIMH	Ox^Xg'*l
func/sub-001_ses-12_task-HalfFovNoTask_run-008_bold.nii.gz	1863-03-27T17:08:23	NIMH	ryO?w0,:
func/sub-001_ses-12_task-HalfFovNoTask_run-009_bold.nii.gz	1863-03-27T17:17:11	NIMH	hWMfOj{5
func/sub-001_ses-12_task-HalfFovNoTask_run-010_bold.nii.gz	1863-03-27T17:23:16	NIMH	"6J""Uud4Y"
func/sub-001_ses-12_task-HalfFovNoTask_run-011_bold.nii.gz	1863-03-27T17:28:23	NIMH	IFQ#z@]6
func/sub-001_ses-12_task-HalfFovNoTask_run-012_bold.nii.gz	1863-03-27T17:35:11	NIMH	Kw-qYLb_
func/sub-001_ses-12_task-HalfFovNoTask_run-013_bold.nii.gz	1863-03-27T17:44:36	NIMH	_[7vB'k<
func/sub-001_ses-12_task-HalfFovNoTask_run-014_bold.nii.gz	1863-03-27T17:53:23	NIMH	c}]*?L>N
func/sub-001_ses-12_task-HalfFovNoTask_run-015_bold.nii.gz	1863-03-27T17:59:11	NIMH	`'RzF<P{
