filename	acq_time	operator	randstr
func/sub-003_ses-09_task-FullFovAttentionTask_run-004_bold.nii.gz	1863-02-13T16:36:46	NIMH	B;yp,a4-
func/sub-003_ses-09_task-FullFovAttentionTask_run-005_bold.nii.gz	1863-02-13T16:42:53	NIMH	HbkS89yu
func/sub-003_ses-09_task-FullFovAttentionTask_run-011_bold.nii.gz	1863-02-13T17:27:33	NIMH	"*Ucw""xBK"
func/sub-003_ses-09_task-FullFovAttentionTask_run-012_bold.nii.gz	1863-02-13T17:32:21	NIMH	Zxf27'aL
func/sub-003_ses-09_task-FullFovAttentionTask_run-013_bold.nii.gz	1863-02-13T17:38:46	NIMH	Y4{)7,e*
anat/sub-003_ses-09_acq-MPRAGE_run-001_T1w.nii.gz	1863-02-13T17:51:42	NIMH	t:sEfK`b
anat/sub-003_ses-09_run-001_PD.nii.gz	1863-02-13T17:55:51	NIMH	y%_F6#0I
