filename	acq_time	operator	randstr
func/sub-003_ses-11_task-FullFovAttentionTask_run-002_bold.nii.gz	1863-03-11T17:31:32	NIMH	]<kbDC6^
func/sub-003_ses-11_task-FullFovAttentionTask_run-003_bold.nii.gz	1863-03-11T17:34:56	NIMH	.*lx|vR+
func/sub-003_ses-11_task-FullFovAttentionTask_run-004_bold.nii.gz	1863-03-11T17:43:22	NIMH	O/[g%{7p
func/sub-003_ses-11_task-FullFovAttentionTask_run-005_bold.nii.gz	1863-03-11T17:50:54	NIMH	0^V#'.7R
func/sub-003_ses-11_task-FullFovAttentionTask_run-006_bold.nii.gz	1863-03-11T18:00:36	NIMH	x'L5mt3p
func/sub-003_ses-11_task-FullFovAttentionTask_run-007_bold.nii.gz	1863-03-11T18:07:13	NIMH	E`KB2x,5
func/sub-003_ses-11_task-FullFovAttentionTask_run-008_bold.nii.gz	1863-03-11T18:10:14	NIMH	D)JqftAU
func/sub-003_ses-11_task-FullFovAttentionTask_run-009_bold.nii.gz	1863-03-11T18:20:16	NIMH	UJgDNBQs
func/sub-003_ses-11_task-FullFovAttentionTask_run-010_bold.nii.gz	1863-03-11T18:27:23	NIMH	[945}/qO
func/sub-003_ses-11_task-FullFovAttentionTask_run-011_bold.nii.gz	1863-03-11T18:34:14	NIMH	"aR=^""Kx)"
func/sub-003_ses-11_task-FullFovAttentionTask_run-012_bold.nii.gz	1863-03-11T18:41:36	NIMH	:onuj=W{
func/sub-003_ses-11_task-FullFovAttentionTask_run-013_bold.nii.gz	1863-03-11T18:45:23	NIMH	b8AlWF/a
anat/sub-003_ses-11_acq-MPRAGE_run-001_T1w.nii.gz	1863-03-11T18:57:12	NIMH	K:\qD5e.
