filename	acq_time	operator	randstr
func/sub-001_ses-01_task-HalfFovNoTask_run-003_bold.nii.gz	1862-11-04T09:46:54	NIMH	S='I4*lT
func/sub-001_ses-01_task-HalfFovNoTask_run-004_bold.nii.gz	1862-11-04T09:52:15	NIMH	O|q~pAx[
func/sub-001_ses-01_task-HalfFovNoTask_run-006_bold.nii.gz	1862-11-04T10:07:34	NIMH	G9We8n!l
func/sub-001_ses-01_task-HalfFovNoTask_run-007_bold.nii.gz	1862-11-04T10:14:35	NIMH	@S;t%Z9'
func/sub-001_ses-01_task-HalfFovNoTask_run-011_bold.nii.gz	1862-11-04T10:37:38	NIMH	\1C8n}qR
anat/sub-001_ses-01_acq-MPRAGE_run-001_T1w.nii.gz	1862-11-04T10:52:48	NIMH	ecst=Y>S
anat/sub-001_ses-01_run-001_PD.nii.gz	1862-11-04T10:56:58	NIMH	v+T~AU=4
