filename	acq_time	operator	randstr
func/sub-003_ses-12_task-FullFovAttentionTask_run-002_bold.nii.gz	1863-03-19T17:42:00	NIMH	a_J(@z<8
func/sub-003_ses-12_task-FullFovAttentionTask_run-003_bold.nii.gz	1863-03-19T17:44:54	NIMH	e9_acT0G
func/sub-003_ses-12_task-FullFovAttentionTask_run-004_bold.nii.gz	1863-03-19T17:53:40	NIMH	4v*G2ba)
func/sub-003_ses-12_task-FullFovAttentionTask_run-005_bold.nii.gz	1863-03-19T18:00:47	NIMH	k}C)D;1+
func/sub-003_ses-12_task-FullFovAttentionTask_run-007_bold.nii.gz	1863-03-19T18:17:30	NIMH	~cYz!rLZ
func/sub-003_ses-12_task-FullFovAttentionTask_run-008_bold.nii.gz	1863-03-19T18:21:07	NIMH	"""9{1C6XP"
func/sub-003_ses-12_task-FullFovAttentionTask_run-009_bold.nii.gz	1863-03-19T18:32:34	NIMH	s}#ewE,'
func/sub-003_ses-12_task-FullFovAttentionTask_run-010_bold.nii.gz	1863-03-19T18:39:00	NIMH	K6XbW#I3
anat/sub-003_ses-12_acq-MPRAGE_run-001_T1w.nii.gz	1863-03-19T19:02:57	NIMH	mt*2n]LG
