filename	acq_time	operator	randstr
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-003_bold.nii.gz	1863-03-19T14:27:34	NIMH	p);wZ:m%
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-004_bold.nii.gz	1863-03-19T14:32:25	NIMH	{w6|z.7Z
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-005_bold.nii.gz	1863-03-19T14:41:18	NIMH	M<86-+F;
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-006_bold.nii.gz	1863-03-19T14:48:34	NIMH	"V9L)i+c"""
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-007_bold.nii.gz	1863-03-19T14:51:45	NIMH	7?Z_JPzb
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-008_bold.nii.gz	1863-03-19T14:59:18	NIMH	^f|=9r>F
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-009_bold.nii.gz	1863-03-19T15:08:25	NIMH	M~|P*Z4N
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-010_bold.nii.gz	1863-03-19T15:12:18	NIMH	pul;)A2<
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-011_bold.nii.gz	1863-03-19T15:17:54	NIMH	@=RLzY;W
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-012_bold.nii.gz	1863-03-19T15:24:05	NIMH	"B_""3{R'L"
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-013_bold.nii.gz	1863-03-19T15:34:38	NIMH	<Y-`C3T\
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-014_bold.nii.gz	1863-03-19T15:40:34	NIMH	6x2^7=0P
func/sub-002_ses-02_task-FullFovNoAttentionTask_run-015_bold.nii.gz	1863-03-19T15:45:25	NIMH	&l%*w9pH
anat/sub-002_ses-02_acq-MPRAGE_run-001_T1w.nii.gz	1863-03-19T15:55:06	NIMH	.ANKG$>k
anat/sub-002_ses-02_run-001_PD.nii.gz	1863-03-19T15:59:16	NIMH	sglUdk.$
