filename	acq_time	operator	randstr
func/sub-001_ses-08_task-HalfFovNoTask_run-002_bold.nii.gz	1863-02-14T18:38:37	NIMH	-\u.O$RJ
func/sub-001_ses-08_task-HalfFovNoTask_run-003_bold.nii.gz	1863-02-14T18:43:40	NIMH	=9F7Y_-U
func/sub-001_ses-08_task-HalfFovNoTask_run-004_bold.nii.gz	1863-02-14T18:49:10	NIMH	p,*knT%<
func/sub-001_ses-08_task-HalfFovNoTask_run-005_bold.nii.gz	1863-02-14T18:57:37	NIMH	lwVzeM=v
func/sub-001_ses-08_task-HalfFovNoTask_run-006_bold.nii.gz	1863-02-14T19:06:00	NIMH	wW4.\>,t
func/sub-001_ses-08_task-HalfFovNoTask_run-007_bold.nii.gz	1863-02-14T19:09:30	NIMH	"""maJ965v"
func/sub-001_ses-08_task-HalfFovNoTask_run-008_bold.nii.gz	1863-02-14T19:16:57	NIMH	GN`[eP_?
func/sub-001_ses-08_task-HalfFovNoTask_run-009_bold.nii.gz	1863-02-14T19:25:20	NIMH	OGrSo6gl
func/sub-001_ses-08_task-HalfFovNoTask_run-010_bold.nii.gz	1863-02-14T19:31:30	NIMH	D/CX@$)'
func/sub-001_ses-08_task-HalfFovNoTask_run-011_bold.nii.gz	1863-02-14T19:36:37	NIMH	#hj\(Zku
anat/sub-001_ses-08_acq-MPRAGE_run-001_T1w.nii.gz	1863-02-14T19:55:12	NIMH	"6^79"">fK"
anat/sub-001_ses-08_run-001_PD.nii.gz	1863-02-14T19:59:22	NIMH	3$vK:uU4
